Unnamed: 0,name,aoi,latitude,longitude,pass,scene,tile,insitu_data_path,wlvar,datevar
122,CRMS0131-H01,louisiana,29.68827046,-89.88877078,"['203', '244', '522']","['206L', '103L', '102R']","['103F', '052F', '051F']",CRMS0131-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
123,CRMS0132-H01,louisiana,29.66416935,-89.88477899,"['203', '244', '522']","['206L', '103L', '102R']","['103F', '052F', '051F']",CRMS0132-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
124,CRMS0135-H01,louisiana,29.6864305,-89.76103081,"['203', '522']","['207R', '102R']","['104F', '051F']",CRMS0135-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
125,CRMS0136-H01,louisiana,29.62104348,-89.7913346,"['203', '522']","['206L', '102R']","['103F', '051F']",CRMS0136-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
126,CRMS0139-H01,louisiana,29.38278596,-89.47804121,"['203', '522']","['206R', '103R']","['103F', '052F']",CRMS0139-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
127,CRMS0146-H01,louisiana,29.72901272,-89.72655347,"['203', '522']","['207R', '102R']","['104F', '051F']",CRMS0146-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
128,CRMS0147-H01,louisiana,29.66553143,-89.60467604,"['203', '522']","['207R', '102R']","['104F', '051F']",CRMS0147-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
129,CRMS0148-H01,louisiana,29.51247517,-89.69753727,"['203', '522']","['206R', '103R']","['103F', '052F']",CRMS0148-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
130,CRMS0151-H01,louisiana,29.20753568,-89.13751372,"['481', '522']","['206L', '103L']","['103F', '052F']",CRMS0151-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
131,CRMS0153-H01,louisiana,29.11420201,-89.13681158,"['481', '522']","['205L', '104R']","['103F', '052F']",CRMS0153-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
132,CRMS0154-H01,louisiana,29.11596389,-89.19995506,"['481', '522']","['205L', '103R']","['103F', '052F']",CRMS0154-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
133,CRMS0156-H01,louisiana,29.16223999,-89.16988949,"['481', '522']","['205L', '103R']","['103F', '052F']",CRMS0156-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
134,CRMS0157-H01,louisiana,29.13183088,-89.22631132,"['481', '522']","['205L', '103R']","['103F', '052F']",CRMS0157-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
135,CRMS0159-H01,louisiana,29.0377574,-89.19905253,"['481', '522']","['205L', '104R']","['103F', '052F']",CRMS0159-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
136,CRMS0161-H01,louisiana,29.29369132,-89.16670593,"['481', '522']","['206L', '103R']","['103F', '052F']",CRMS0161-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
137,CRMS0162-H01,louisiana,29.16376987,-89.1345637,"['481', '522']","['205L', '103R']","['103F', '052F']",CRMS0162-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
138,CRMS0163-H01,louisiana,29.21672326,-89.42105609,"['203', '522']","['206R', '103R']","['103F', '052F']",CRMS0163-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
139,CRMS0164-H01,louisiana,29.19444545,-90.17071582,"['203', '244']","['206L', '103L']","['103F', '052F']",CRMS0164-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
140,CRMS0171-H01,louisiana,29.32312633,-89.79466956,"['203', '244', '522']","['206R', '103L', '103R']","['103F', '052F', '052F']",CRMS0171-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
141,CRMS0172-H01,louisiana,29.31451279,-89.73853926,"['203', '244', '522']","['206R', '103L', '103R']","['103F', '052F', '052F']",CRMS0172-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
142,CRMS0173-H01,louisiana,29.45323554,-89.73043313,"['203', '522']","['206R', '103R']","['103F', '052F']",CRMS0173-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
143,CRMS0174-H01,louisiana,29.39727039,-89.7654907,"['203', '244', '522']","['206R', '103L', '103R']","['103F', '052F', '052F']",CRMS0174-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
144,CRMS0175-H01,louisiana,29.29008075,-90.14221404,"['203', '244']","['206L', '103L']","['103F', '052F']",CRMS0175-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
145,CRMS0176-H01,louisiana,29.4088108,-89.79645068,"['203', '244', '522']","['206R', '103L', '103R']","['103F', '052F', '052F']",CRMS0176-H01,'Adjusted Water Elevation to Datum (m),Date and Time UTC
146,CRMS0176-H0X,louisiana,29.39727039,-89.7654907,"['203', '244', '522']","['206R', '103L', '103R']","['103F', '052F', '052F']",CRMS0176-H0X,'Adjusted Water Elevation to Datum (m),Date and Time UTC
